2022120131183752956	4225	JUST THE FACTS PAC	OBAMA, BARACK
2022220131184095097	5541	LEAGUE OF CONSERVATION VOTERS INC	OBAMA, BARACK
2022220131184095108	2000	LEAGUE OF CONSERVATION VOTERS INC	OBAMA, BARACK
2022220131184095165	27982	LEAGUE OF CONSERVATION VOTERS INC	OBAMA, BARACK
2022220131184095173	22937	LEAGUE OF CONSERVATION VOTERS INC	OBAMA, BARACK
2022220131184095179	4344	OHIO COUNCIL 8, AFSCME, AFL-CIO	OBAMA, BARACK
2022220131184095181	1118	OHIO COUNCIL 8, AFSCME, AFL-CIO	OBAMA, BARACK
2022220131184095182	4066	OHIO COUNCIL 8, AFSCME, AFL-CIO	OBAMA, BARACK
2022220131184095194	15360	UAW NATIONAL CAP	OBAMA, BARACK
2022220131184095233	2289	LAKE COUNTY REPUBLICAN CENTRAL COMMITTEE (LCRCC)	ROMNEY, MITT / RYAN, PAUL D. 
2022520131184165492	1789	PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY	OBAMA, BARACK
2022520131184165498	2175	PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY	OBAMA, BARACK
2022520131184165660	9927	PENNSYLVANIA STATE EDUCATION ASSOCIATION	OBAMA, BARACK
2022520131184165662	1500	LOCAL 237 IBT	OBAMA, BARACK
2022620131184532805	398118	CULINARY WORKERS UNION LOCAL 226	OBAMA, BARACK
2022620131184533069	4950	MICHIGAN JEWISH CITIZENS FOR A STRONGER AMERICA	ROMNEY, MITT / RYAN, PAUL D. 
2022620131184533070	4650	MICHIGAN JEWISH CITIZENS FOR A STRONGER AMERICA	ROMNEY, MITT / RYAN, PAUL D. 
2022620131184533071	1950	MICHIGAN JEWISH CITIZENS FOR A STRONGER AMERICA	ROMNEY, MITT / RYAN, PAUL D. 
2022620131184533072	2095	MICHIGAN JEWISH CITIZENS FOR A STRONGER AMERICA	ROMNEY, MITT / RYAN, PAUL D. 
2022620131184533073	1261	MICHIGAN JEWISH CITIZENS FOR A STRONGER AMERICA	ROMNEY, MITT / RYAN, PAUL D. 
2022620131184533074	5408	MICHIGAN JEWISH CITIZENS FOR A STRONGER AMERICA	ROMNEY, MITT / RYAN, PAUL D. 
2022720131184557177	24408	NATIONAL EDUCATION ASSOCIATION	ROMNEY, MITT / RYAN, PAUL D. 
2022720131184557178	94960	NATIONAL EDUCATION ASSOCIATION	ROMNEY, MITT / RYAN, PAUL D. 
2022720131184557179	104497	NATIONAL EDUCATION ASSOCIATION	OBAMA, BARACK
2022720131184557180	22617	NATIONAL EDUCATION ASSOCIATION	OBAMA, BARACK
2022720131184557282	3333	UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SER	OBAMA, BARACK
2022720131184557301	3075	UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SER	OBAMA, BARACK
2022720131184557308	1063	UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SER	OBAMA, BARACK
2022720131184557335	13869	SERVICE EMPLOYEES INTERNATIONAL UNION	OBAMA, BARACK
2022720131184557336	450283	SERVICE EMPLOYEES INTERNATIONAL UNION	OBAMA, BARACK
2022720131184557346	17755	SERVICE EMPLOYEES INTERNATIONAL UNION	OBAMA, BARACK
2022720131184557347	26152	SERVICE EMPLOYEES INTERNATIONAL UNION	OBAMA, BARACK
2022720131184557348	846596	SERVICE EMPLOYEES INTERNATIONAL UNION	OBAMA, BARACK
2022720131184557349	513606	SERVICE EMPLOYEES INTERNATIONAL UNION	ROMNEY, MITT / RYAN, PAUL D. 
2022720131184557363	94159	LOCAL 32BJ S E I U AFL-CIO	OBAMA, BARACK
2022720131184557383	1591	SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 99	OBAMA, BARACK
2022720131184557384	1366	UNITED FOOD AND COMMERCIAL WORKERS UNION, LOCAL 400	OBAMA, BARACK
2022720131184557423	5411	EDUCATION MINNESOTA	OBAMA, BARACK
2022720131184557430	11639	OHIO EDUCATION ASSOCIATION	OBAMA, BARACK
2022720131184557443	9029	OHIO EDUCATION ASSOCIATION	OBAMA, BARACK
2022720131184557444	6566	OHIO EDUCATION ASSOCIATION	ROMNEY, MITT / RYAN, PAUL D. 
2022720131184557454	8007	INTERNATIONAL BROTHERHOOD OF TEAMSTERS	OBAMA, BARACK
2022720131184557455	2192	INTERNATIONAL BROTHERHOOD OF TEAMSTERS	OBAMA, BARACK
2022720131184557456	62792	UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION	OBAMA, BARACK
2022720131184557472	1481	OHIO COUNCIL 8, AFSCME, AFL-CIO	OBAMA, BARACK
2022720131184557476	2700	NATIONAL NURSES UNITED	OBAMA, BARACK
2030120131184951751	3720	INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS	OBAMA, BARACK
2030120131184951752	41099	INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS	ROMNEY, MITT / RYAN, PAUL D. 
2030120131184951753	29443	INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS	ROMNEY, MITT / RYAN, PAUL D. 
2030120131184951754	28715	INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS	OBAMA, BARACK
2030420131184959110	3717	PLANNED PARENTHOOD PENNSYLVANIA ADVOCATES	OBAMA, BARACK
2030720131185139301	1172	IBEW LOCAL 494	OBAMA, BARACK
2030720131185139303	1013	IBEW LOCAL 494	OBAMA, BARACK
